Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
101,"SEMI-FINALS","France","Spain","Dallas Stadium","Arlington","United States","July 14","Tuesday, 2pm CT",7400,"Champions Club",USD,7400,"United States"
102,"SEMI-FINALS","England","Argentina","Atlanta Stadium","Atlanta","United States","July 15","Wednesday, 3pm ET",4000,"Suite Essentials",USD,4000,"Mexico"
103,"BRONZE FINAL","BRONZE","FIXTURE","Miami Stadium","Miami Gardens","United States","July 18","Saturday, 5pm ET",5500,"Pitchside Lounge",USD,5500,"United States"
104,"","FINAL","FIXTURE","New York/New Jersey Stadium","East Rutherford","United States","July 19","Sunday, 3pm ET",8000,"Supporters Club",USD,8000,"United States"
