Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Original Price,Original Currency,Price (USD),Portal
36,"GROUP STAGE MATCHES","Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT","FIFA Pavilion",39700,MXN,2293,Mexico
37,"GROUP STAGE MATCHES","Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","Pitchside Lounge",3940,USD,3940,United States
37,"GROUP STAGE MATCHES","Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","VIP ",3000,USD,3000,United States
37,"GROUP STAGE MATCHES","Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","Trophy Lounge",2475,USD,2475,United States
37,"GROUP STAGE MATCHES","Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","Champions Club",2100,USD,2100,United States
37,"GROUP STAGE MATCHES","Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","FIFA Pavilion",1825,USD,1825,United States
38,"GROUP STAGE MATCHES","Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","Pitchside Lounge",3500,USD,3500,United States
38,"GROUP STAGE MATCHES","Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","VIP ",2950,USD,2950,United States
38,"GROUP STAGE MATCHES","Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","Trophy Lounge",2640,USD,2640,United States
38,"GROUP STAGE MATCHES","Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","Champions Club",2150,USD,2150,United States
39,"GROUP STAGE MATCHES","Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","Pitchside Lounge",3600,USD,3600,United States
39,"GROUP STAGE MATCHES","Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","VIP ",3100,USD,3100,United States
39,"GROUP STAGE MATCHES","Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","Trophy Lounge",2625,USD,2625,United States
39,"GROUP STAGE MATCHES","Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","Champions Club",2300,USD,2300,United States
39,"GROUP STAGE MATCHES","Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","FIFA Pavilion",1475,USD,1475,United States
40,"GROUP STAGE MATCHES","New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","Pitchside Lounge",6350,CAD,4635,Canada
40,"GROUP STAGE MATCHES","New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","VIP ",4850,CAD,3540,Canada
40,"GROUP STAGE MATCHES","New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","Lounge 1930 ",4850,CAD,3540,Canada
40,"GROUP STAGE MATCHES","New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","Trophy Lounge",4325,CAD,3157,Canada
40,"GROUP STAGE MATCHES","New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","Champions Club",3575,CAD,2609,Canada
40,"GROUP STAGE MATCHES","New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","FIFA Pavilion",2575,CAD,1880,Canada
41,"GROUP STAGE MATCHES","Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","Pitchside Lounge",3500,USD,3500,United States
41,"GROUP STAGE MATCHES","Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","VIP ",3200,USD,3200,United States
41,"GROUP STAGE MATCHES","Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","Trophy Lounge",3000,USD,3000,United States
41,"GROUP STAGE MATCHES","Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","Champions Club",2800,USD,2800,United States
41,"GROUP STAGE MATCHES","Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","FIFA Pavilion",1800,USD,1800,United States
42,"GROUP STAGE MATCHES","France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","Pitchside Lounge",3200,USD,3200,United States
42,"GROUP STAGE MATCHES","France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","VIP ",2700,USD,2700,United States
42,"GROUP STAGE MATCHES","France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","Trophy Lounge",2320,USD,2320,United States
42,"GROUP STAGE MATCHES","France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","Champions Club",2050,USD,2050,United States
43,"GROUP STAGE MATCHES","Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT","Pitchside Lounge",3450,USD,3450,United States
43,"GROUP STAGE MATCHES","Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT","VIP ",3000,USD,3000,United States
43,"GROUP STAGE MATCHES","Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT","Trophy Lounge",2500,USD,2500,United States
44,"GROUP STAGE MATCHES","Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","Pitchside Lounge",3200,USD,3200,United States
44,"GROUP STAGE MATCHES","Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","VIP ",2800,USD,2800,United States
44,"GROUP STAGE MATCHES","Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","Trophy Lounge",2250,USD,2250,United States
44,"GROUP STAGE MATCHES","Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","Champions Club",2000,USD,2000,United States
45,"GROUP STAGE MATCHES","England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","Pitchside Lounge",3200,USD,3200,United States
45,"GROUP STAGE MATCHES","England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","VIP ",2700,USD,2700,United States
45,"GROUP STAGE MATCHES","England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","Trophy Lounge",2490,USD,2490,United States
45,"GROUP STAGE MATCHES","England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","Champions Club",2310,USD,2310,United States
46,"GROUP STAGE MATCHES","Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","Pitchside Lounge",5350,CAD,3905,Canada
46,"GROUP STAGE MATCHES","Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","VIP ",4550,CAD,3321,Canada
46,"GROUP STAGE MATCHES","Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","Lounge 1930 ",4550,CAD,3321,Canada
46,"GROUP STAGE MATCHES","Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","Trophy Lounge",3850,CAD,2810,Canada
46,"GROUP STAGE MATCHES","Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","Champions Club",3450,CAD,2518,Canada
46,"GROUP STAGE MATCHES","Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET","FIFA Pavilion",2600,CAD,1898,Canada
47,"GROUP STAGE MATCHES","Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT","Pitchside Lounge",3200,USD,3200,United States
47,"GROUP STAGE MATCHES","Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT","VIP ",2710,USD,2710,United States
47,"GROUP STAGE MATCHES","Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT","Trophy Lounge",2510,USD,2510,United States
48,"GROUP STAGE MATCHES","Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT","Pitchside Lounge",96000,MXN,5546,Mexico
48,"GROUP STAGE MATCHES","Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT","VIP ",70840,MXN,4092,Mexico
48,"GROUP STAGE MATCHES","Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT","Trophy Lounge",61990,MXN,3581,Mexico
48,"GROUP STAGE MATCHES","Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT","Champions Club",56430,MXN,3260,Mexico
48,"GROUP STAGE MATCHES","Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT","FIFA Pavilion",36770,MXN,2124,Mexico
49,"GROUP STAGE MATCHES","Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","Pitchside Lounge",6100,USD,6100,United States
49,"GROUP STAGE MATCHES","Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","VIP ",3700,USD,3700,United States
49,"GROUP STAGE MATCHES","Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","Trophy Lounge",3400,USD,3400,United States
49,"GROUP STAGE MATCHES","Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","Champions Club",3000,USD,3000,United States
49,"GROUP STAGE MATCHES","Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","FIFA Pavilion",2700,USD,2700,United States
50,"GROUP STAGE MATCHES","Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","Pitchside Lounge",3350,USD,3350,United States
50,"GROUP STAGE MATCHES","Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","VIP ",2850,USD,2850,United States
50,"GROUP STAGE MATCHES","Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","Trophy Lounge",2275,USD,2275,United States
50,"GROUP STAGE MATCHES","Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","Champions Club",2050,USD,2050,United States
51,"GROUP STAGE MATCHES","Switzerland","Canada","BC Place Vancouver","Vancouver","Canada","June 24","Wednesday, 12pm PT","Pitchside Lounge",9075,CAD,6624,Canada
51,"GROUP STAGE MATCHES","Switzerland","Canada","BC Place Vancouver","Vancouver","Canada","June 24","Wednesday, 12pm PT","VIP ",6275,CAD,4580,Canada
51,"GROUP STAGE MATCHES","Switzerland","Canada","BC Place Vancouver","Vancouver","Canada","June 24","Wednesday, 12pm PT","Lounge 1930 ",6275,CAD,4580,Canada
51,"GROUP STAGE MATCHES","Switzerland","Canada","BC Place Vancouver","Vancouver","Canada","June 24","Wednesday, 12pm PT","Trophy Lounge",5225,CAD,3814,Canada
51,"GROUP STAGE MATCHES","Switzerland","Canada","BC Place Vancouver","Vancouver","Canada","June 24","Wednesday, 12pm PT","Champions Club",3700,CAD,2701,Canada
51,"GROUP STAGE MATCHES","Switzerland","Canada","BC Place Vancouver","Vancouver","Canada","June 24","Wednesday, 12pm PT","FIFA Pavilion",3425,CAD,2500,Canada
52,"GROUP STAGE MATCHES","European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","Pitchside Lounge",4550,USD,4550,United States
52,"GROUP STAGE MATCHES","European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","VIP ",3850,USD,3850,United States
52,"GROUP STAGE MATCHES","European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","Trophy Lounge",2875,USD,2875,United States
52,"GROUP STAGE MATCHES","European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","Champions Club",2000,USD,2000,United States
52,"GROUP STAGE MATCHES","European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","FIFA Pavilion",1575,USD,1575,United States
54,"GROUP STAGE MATCHES","South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT","Pitchside Lounge",87705,MXN,5067,Mexico
54,"GROUP STAGE MATCHES","South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT","VIP ",73450,MXN,4243,Mexico
54,"GROUP STAGE MATCHES","South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT","Trophy Lounge",61350,MXN,3544,Mexico
54,"GROUP STAGE MATCHES","South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT","Champions Club",55350,MXN,3198,Mexico
54,"GROUP STAGE MATCHES","South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT","FIFA Pavilion",34700,MXN,2005,Mexico
55,"GROUP STAGE MATCHES","Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","Pitchside Lounge",3200,USD,3200,United States
55,"GROUP STAGE MATCHES","Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","VIP ",2700,USD,2700,United States
55,"GROUP STAGE MATCHES","Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","Trophy Lounge",2250,USD,2250,United States
55,"GROUP STAGE MATCHES","Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","Champions Club",1950,USD,1950,United States
56,"GROUP STAGE MATCHES","Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","Pitchside Lounge",4400,USD,4400,United States
56,"GROUP STAGE MATCHES","Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","VIP ",3400,USD,3400,United States
56,"GROUP STAGE MATCHES","Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","Trophy Lounge",3200,USD,3200,United States
56,"GROUP STAGE MATCHES","Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","Champions Club",3000,USD,3000,United States
56,"GROUP STAGE MATCHES","Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","FIFA Pavilion",2450,USD,2450,United States
57,"GROUP STAGE MATCHES","Japan","European Play-Off B","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT","Pitchside Lounge",3450,USD,3450,United States
57,"GROUP STAGE MATCHES","Japan","European Play-Off B","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT","VIP ",3000,USD,3000,United States
57,"GROUP STAGE MATCHES","Japan","European Play-Off B","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT","Trophy Lounge",2350,USD,2350,United States
58,"GROUP STAGE MATCHES","Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","Pitchside Lounge",3150,USD,3150,United States
58,"GROUP STAGE MATCHES","Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","VIP ",2700,USD,2700,United States
58,"GROUP STAGE MATCHES","Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","Trophy Lounge",2310,USD,2310,United States
58,"GROUP STAGE MATCHES","Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","Champions Club",2100,USD,2100,United States
58,"GROUP STAGE MATCHES","Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","FIFA Pavilion",1400,USD,1400,United States
59,"GROUP STAGE MATCHES","European Play-Off C","USA","Los Angeles Stadium","Inglewood","United States","June 25","Thursday, 7pm PT","Pitchside Lounge",4550,USD,4550,United States
59,"GROUP STAGE MATCHES","European Play-Off C","USA","Los Angeles Stadium","Inglewood","United States","June 25","Thursday, 7pm PT","VIP ",4300,USD,4300,United States
59,"GROUP STAGE MATCHES","European Play-Off C","USA","Los Angeles Stadium","Inglewood","United States","June 25","Thursday, 7pm PT","Trophy Lounge",3700,USD,3700,United States
59,"GROUP STAGE MATCHES","European Play-Off C","USA","Los Angeles Stadium","Inglewood","United States","June 25","Thursday, 7pm PT","Champions Club",3200,USD,3200,United States
59,"GROUP STAGE MATCHES","European Play-Off C","USA","Los Angeles Stadium","Inglewood","United States","June 25","Thursday, 7pm PT","FIFA Pavilion",2700,USD,2700,United States
60,"GROUP STAGE MATCHES","Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","Pitchside Lounge",3200,USD,3200,United States
60,"GROUP STAGE MATCHES","Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","VIP ",2800,USD,2800,United States
60,"GROUP STAGE MATCHES","Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","Trophy Lounge",2250,USD,2250,United States
60,"GROUP STAGE MATCHES","Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","Champions Club",2000,USD,2000,United States
61,"GROUP STAGE MATCHES","Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","Pitchside Lounge",3900,USD,3900,United States
61,"GROUP STAGE MATCHES","Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","VIP ",3300,USD,3300,United States
61,"GROUP STAGE MATCHES","Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","Trophy Lounge",2700,USD,2700,United States
61,"GROUP STAGE MATCHES","Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","Champions Club",2500,USD,2500,United States
62,"GROUP STAGE MATCHES","Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","Pitchside Lounge",5600,CAD,4088,Canada
62,"GROUP STAGE MATCHES","Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","VIP ",4800,CAD,3504,Canada
62,"GROUP STAGE MATCHES","Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","Lounge 1930 ",4800,CAD,3504,Canada
62,"GROUP STAGE MATCHES","Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","Trophy Lounge",3950,CAD,2883,Canada
62,"GROUP STAGE MATCHES","Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","Champions Club",3450,CAD,2518,Canada
62,"GROUP STAGE MATCHES","Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET","FIFA Pavilion",2600,CAD,1898,Canada
63,"GROUP STAGE MATCHES","Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","Pitchside Lounge",4300,USD,4300,United States
63,"GROUP STAGE MATCHES","Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","VIP ",3600,USD,3600,United States
63,"GROUP STAGE MATCHES","Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","Trophy Lounge",2500,USD,2500,United States
63,"GROUP STAGE MATCHES","Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","Champions Club",2100,USD,2100,United States
63,"GROUP STAGE MATCHES","Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","FIFA Pavilion",1525,USD,1525,United States
64,"GROUP STAGE MATCHES","New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","Pitchside Lounge",6800,CAD,4964,Canada
64,"GROUP STAGE MATCHES","New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","VIP ",4850,CAD,3540,Canada
64,"GROUP STAGE MATCHES","New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","Lounge 1930 ",4850,CAD,3540,Canada
64,"GROUP STAGE MATCHES","New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","Trophy Lounge",4325,CAD,3157,Canada
64,"GROUP STAGE MATCHES","New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","Champions Club",3575,CAD,2609,Canada
64,"GROUP STAGE MATCHES","New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT","FIFA Pavilion",2575,CAD,1880,Canada
65,"GROUP STAGE MATCHES","Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT","Pitchside Lounge",3300,USD,3300,United States
65,"GROUP STAGE MATCHES","Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT","VIP ",2800,USD,2800,United States
65,"GROUP STAGE MATCHES","Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT","Trophy Lounge",2430,USD,2430,United States
66,"GROUP STAGE MATCHES","Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT","Pitchside Lounge",139000,MXN,8030,Mexico
66,"GROUP STAGE MATCHES","Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT","VIP ",127000,MXN,7337,Mexico
66,"GROUP STAGE MATCHES","Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT","Trophy Lounge",115000,MXN,6644,Mexico
66,"GROUP STAGE MATCHES","Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT","Champions Club",70840,MXN,4092,Mexico
66,"GROUP STAGE MATCHES","Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT","FIFA Pavilion",54060,MXN,3123,Mexico
67,"GROUP STAGE MATCHES","Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","Pitchside Lounge",4500,USD,4500,United States
67,"GROUP STAGE MATCHES","Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","VIP ",3500,USD,3500,United States
67,"GROUP STAGE MATCHES","Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","Trophy Lounge",3300,USD,3300,United States
67,"GROUP STAGE MATCHES","Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","Champions Club",3000,USD,3000,United States
67,"GROUP STAGE MATCHES","Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","FIFA Pavilion",2400,USD,2400,United States
68,"GROUP STAGE MATCHES","Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","Pitchside Lounge",3300,USD,3300,United States
68,"GROUP STAGE MATCHES","Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","VIP ",2800,USD,2800,United States
68,"GROUP STAGE MATCHES","Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","Trophy Lounge",2375,USD,2375,United States
68,"GROUP STAGE MATCHES","Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","Champions Club",2000,USD,2000,United States
69,"GROUP STAGE MATCHES","Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","Pitchside Lounge",3350,USD,3350,United States
69,"GROUP STAGE MATCHES","Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","VIP ",2850,USD,2850,United States
69,"GROUP STAGE MATCHES","Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","Trophy Lounge",2400,USD,2400,United States
69,"GROUP STAGE MATCHES","Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","Champions Club",2050,USD,2050,United States
69,"GROUP STAGE MATCHES","Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","FIFA Pavilion",1475,USD,1475,United States
70,"GROUP STAGE MATCHES","Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT","Pitchside Lounge",3795,USD,3795,United States
70,"GROUP STAGE MATCHES","Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT","VIP ",3595,USD,3595,United States
70,"GROUP STAGE MATCHES","Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT","Trophy Lounge",2490,USD,2490,United States
71,"GROUP STAGE MATCHES","Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","Pitchside Lounge",7200,USD,7200,United States
71,"GROUP STAGE MATCHES","Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","VIP ",4420,USD,4420,United States
71,"GROUP STAGE MATCHES","Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","Trophy Lounge",4000,USD,4000,United States
71,"GROUP STAGE MATCHES","Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","Champions Club",3600,USD,3600,United States
71,"GROUP STAGE MATCHES","Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","FIFA Pavilion",3300,USD,3300,United States
72,"GROUP STAGE MATCHES","FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","Pitchside Lounge",3500,USD,3500,United States
72,"GROUP STAGE MATCHES","FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","VIP ",2950,USD,2950,United States
72,"GROUP STAGE MATCHES","FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","Trophy Lounge",2400,USD,2400,United States
72,"GROUP STAGE MATCHES","FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","Champions Club",2150,USD,2150,United States
73,"ROUND OF 32","2A","2B","Los Angeles Stadium","Inglewood","United States","June 28","Sunday, 12pm PT","Pitchside Lounge",4300,USD,4300,United States
73,"ROUND OF 32","2A","2B","Los Angeles Stadium","Inglewood","United States","June 28","Sunday, 12pm PT","VIP ",3700,USD,3700,United States
73,"ROUND OF 32","2A","2B","Los Angeles Stadium","Inglewood","United States","June 28","Sunday, 12pm PT","Trophy Lounge",3325,USD,3325,United States
73,"ROUND OF 32","2A","2B","Los Angeles Stadium","Inglewood","United States","June 28","Sunday, 12pm PT","Champions Club",2800,USD,2800,United States
