Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Original Price,Original Currency,Price (USD),Portal
9,"GROUP STAGE MATCHES","Côte d'Ivoire","Ecuador","Philadelphia Stadium","Philadelphia","United States","June 14","Sunday, 7pm ET","VIP ",2800,USD,2800,United States
9,"GROUP STAGE MATCHES","Côte d'Ivoire","Ecuador","Philadelphia Stadium","Philadelphia","United States","June 14","Sunday, 7pm ET","Trophy Lounge",2375,USD,2375,United States
9,"GROUP STAGE MATCHES","Côte d'Ivoire","Ecuador","Philadelphia Stadium","Philadelphia","United States","June 14","Sunday, 7pm ET","Champions Club",2000,USD,2000,United States
10,"GROUP STAGE MATCHES","Germany","Curaçao","Houston Stadium","Houston","United States","June 14","Sunday, 12pm CT","Pitchside Lounge",3300,USD,3300,United States
10,"GROUP STAGE MATCHES","Germany","Curaçao","Houston Stadium","Houston","United States","June 14","Sunday, 12pm CT","VIP ",2800,USD,2800,United States
10,"GROUP STAGE MATCHES","Germany","Curaçao","Houston Stadium","Houston","United States","June 14","Sunday, 12pm CT","Trophy Lounge",2480,USD,2480,United States
11,"GROUP STAGE MATCHES","Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT","Pitchside Lounge",3500,USD,3500,United States
11,"GROUP STAGE MATCHES","Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT","VIP ",3000,USD,3000,United States
11,"GROUP STAGE MATCHES","Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT","Trophy Lounge",2475,USD,2475,United States
12,"GROUP STAGE MATCHES","European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT","Pitchside Lounge",87500,MXN,5055,Mexico
12,"GROUP STAGE MATCHES","European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT","VIP ",82950,MXN,4792,Mexico
12,"GROUP STAGE MATCHES","European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT","Trophy Lounge",62880,MXN,3633,Mexico
12,"GROUP STAGE MATCHES","European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT","Champions Club",61350,MXN,3544,Mexico
12,"GROUP STAGE MATCHES","European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT","FIFA Pavilion",35700,MXN,2062,Mexico
13,"GROUP STAGE MATCHES","Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","Pitchside Lounge",3520,USD,3520,United States
13,"GROUP STAGE MATCHES","Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","VIP ",2800,USD,2800,United States
13,"GROUP STAGE MATCHES","Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","Trophy Lounge",2350,USD,2350,United States
13,"GROUP STAGE MATCHES","Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","Champions Club",2000,USD,2000,United States
13,"GROUP STAGE MATCHES","Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","FIFA Pavilion",1750,USD,1750,United States
14,"GROUP STAGE MATCHES","Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET","Pitchside Lounge",3350,USD,3350,United States
14,"GROUP STAGE MATCHES","Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET","VIP ",2850,USD,2850,United States
14,"GROUP STAGE MATCHES","Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET","Trophy Lounge",2500,USD,2500,United States
14,"GROUP STAGE MATCHES","Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET","Champions Club",2050,USD,2050,United States
15,"GROUP STAGE MATCHES","IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","Pitchside Lounge",3350,USD,3350,United States
15,"GROUP STAGE MATCHES","IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","VIP ",2950,USD,2950,United States
15,"GROUP STAGE MATCHES","IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","Trophy Lounge",2500,USD,2500,United States
