Match Number,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Price USD
8,"Qatar","Switzerland","San Francisco Bay Area Stadium","Santa Clara","United States","June 13","Saturday, 12pm PT","VIP ",2900
8,"Qatar","Switzerland","San Francisco Bay Area Stadium","Santa Clara","United States","June 13","Saturday, 12pm PT","Trophy Lounge",2375
8,"Qatar","Switzerland","San Francisco Bay Area Stadium","Santa Clara","United States","June 13","Saturday, 12pm PT","Champions Club",2100
14,"Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET","Pitchside Lounge",3350
14,"Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET","VIP ",2850
14,"Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET","Trophy Lounge",2500
14,"Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET","Champions Club",2050
15,"IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","Pitchside Lounge",3350
15,"IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","VIP ",2950
15,"IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","Trophy Lounge",2500
15,"IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","Champions Club",2150
15,"IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","FIFA Pavilion",1400
11,"Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT","Pitchside Lounge",3500
11,"Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT","VIP ",3000
11,"Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT","Trophy Lounge",2475
13,"Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","Pitchside Lounge",3520
