Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
38,"GROUP STAGE MATCHES","Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET",2150,"Champions Lounge",MXN,125,"Mexico"
39,"GROUP STAGE MATCHES","Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT",1475,"FIFA Pavilion",MXN,86,"Mexico"
40,"GROUP STAGE MATCHES","New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT",2575,"FIFA Pavilion",MXN,150,"Mexico"
41,"GROUP STAGE MATCHES","Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET",1800,"FIFA Pavilion",MXN,105,"Mexico"
42,"GROUP STAGE MATCHES","France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET",2260,"Champions Lounge",MXN,132,"Mexico"
43,"GROUP STAGE MATCHES","Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT",2430,"Champions Lounge",MXN,141,"Mexico"
44,"GROUP STAGE MATCHES","Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT",2000,"Champions Lounge",MXN,116,"Mexico"
45,"GROUP STAGE MATCHES","England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET",2430,"Champions Lounge",MXN,141,"Mexico"
46,"GROUP STAGE MATCHES","Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET",3450,"Champions Lounge",MXN,201,"Mexico"
47,"GROUP STAGE MATCHES","Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT",2450,"Champions Lounge",MXN,143,"Mexico"
48,"GROUP STAGE MATCHES","Colombia","FIFA Play-Off 1","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT",36770,"FIFA Pavilion",MXN,2140,"Mexico"
49,"GROUP STAGE MATCHES","Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET",3000,"FIFA Pavilion",MXN,175,"Mexico"
50,"GROUP STAGE MATCHES","Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET",2050,"Champions Lounge",MXN,119,"Mexico"
51,"GROUP STAGE MATCHES","Switzerland","Canada","BC Place Vancouver","Vancouver","Canada","June 24","Wednesday, 12pm PT",3425,"FIFA Pavilion",MXN,199,"Mexico"
52,"GROUP STAGE MATCHES","European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT",1575,"FIFA Pavilion",MXN,92,"Mexico"
54,"GROUP STAGE MATCHES","South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT",55350,"Champions Lounge",MXN,3222,"Mexico"
55,"GROUP STAGE MATCHES","Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET",2150,"Champions Lounge",MXN,125,"Mexico"
56,"GROUP STAGE MATCHES","Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET",2450,"FIFA Pavilion",MXN,143,"Mexico"
57,"GROUP STAGE MATCHES","Japan","European Play-Off B","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT",2200,"Champions Lounge",MXN,128,"Mexico"
58,"GROUP STAGE MATCHES","Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT",1400,"FIFA Pavilion",MXN,81,"Mexico"
59,"GROUP STAGE MATCHES","European Play-Off C","USA","Los Angeles Stadium","Inglewood","United States","June 25","Thursday, 7pm PT",2700,"FIFA Pavilion",MXN,157,"Mexico"
60,"GROUP STAGE MATCHES","Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT",2000,"Champions Lounge",MXN,116,"Mexico"
61,"GROUP STAGE MATCHES","Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET",2700,"Trophy Lounge",MXN,157,"Mexico"
62,"GROUP STAGE MATCHES","Senegal","FIFA Play-Off 2","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET",3450,"Champions Lounge",MXN,201,"Mexico"
63,"GROUP STAGE MATCHES","Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT",1525,"FIFA Pavilion",MXN,89,"Mexico"
64,"GROUP STAGE MATCHES","New Zealand","Belgium","BC Place Vancouver","Vancouver","Canada","June 26","Friday, 8pm PT",2575,"FIFA Pavilion",MXN,150,"Mexico"
65,"GROUP STAGE MATCHES","Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT",2375,"Champions Lounge",MXN,138,"Mexico"
66,"GROUP STAGE MATCHES","Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT",54060,"FIFA Pavilion",MXN,3147,"Mexico"
67,"GROUP STAGE MATCHES","Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET",2400,"FIFA Pavilion",MXN,140,"Mexico"
68,"GROUP STAGE MATCHES","Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET",2200,"Champions Lounge",MXN,128,"Mexico"
69,"GROUP STAGE MATCHES","Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT",1475,"FIFA Pavilion",MXN,86,"Mexico"
70,"GROUP STAGE MATCHES","Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT",2430,"Champions Lounge",MXN,141,"Mexico"
71,"GROUP STAGE MATCHES","Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET",4600,"FIFA Pavilion",MXN,268,"Mexico"
72,"GROUP STAGE MATCHES","FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET",2150,"Champions Lounge",MXN,125,"Mexico"
73,"ROUND OF 32","2A","2B","Los Angeles Stadium","Inglewood","United States","June 28","Sunday, 12pm PT",2050,"FIFA Pavilion",MXN,119,"Mexico"
74,"ROUND OF 32","1E","3ABCDF","Boston Stadium","Foxborough","United States","June 29","Monday, 4pm ET",2500,"Champions Lounge",MXN,146,"Mexico"
75,"ROUND OF 32","1F","2C","Monterrey Stadium","Guadalupe","Mexico","June 29","Monday, 7pm CT",99600,"VIP",MXN,5797,"Mexico"
76,"ROUND OF 32","1C","2F","Houston Stadium","Houston","United States","June 29","Monday, 12pm CT",2900,"Champions Lounge",MXN,169,"Mexico"
77,"ROUND OF 32","1I","3CDFGH","New York New Jersey Stadium","East Rutherford","United States","June 30","Tuesday, 5pm ET",2200,"FIFA Pavilion",MXN,128,"Mexico"
