Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
102,"SEMI-FINALS","England","Argentina","Atlanta Stadium","Atlanta","United States","July 15","Wednesday, 3pm ET",7400,"Champions Club",USD,7400,"United States"
103,"BRONZE FINAL","France","FIXTURE","Miami Stadium","Miami Gardens","United States","July 18","Saturday, 5pm ET",1500,"Suite Essentials",USD,1500,"United States"
104,"","Spain","FIXTURE","New York/New Jersey Stadium","East Rutherford","United States","July 19","Sunday, 3pm ET",8000,"Supporters Club",USD,8000,"United States"
