Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
55,"GROUP STAGE MATCHES","Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET",2100,"Trophy Lounge",USD,2100,"United States"
57,"GROUP STAGE MATCHES","Japan","Sweden","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT",2850,"VIP",USD,2850,"United States"
58,"GROUP STAGE MATCHES","Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT",1250,"FIFA Pavilion",USD,1250,"United States"
59,"GROUP STAGE MATCHES","Türkiye","USA","Los Angeles Stadium","Inglewood","United States","June 25","Thursday, 7pm PT",3400,"Champions Club",USD,3400,"United States"
62,"GROUP STAGE MATCHES","Senegal","Iraq","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET",3750,"Champions Club",CAD,2641,"United States"
63,"GROUP STAGE MATCHES","Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT",2100,"Champions Club",USD,2100,"United States"
65,"GROUP STAGE MATCHES","Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT",1775,"Champions Club",USD,1775,"United States"
66,"GROUP STAGE MATCHES","Uruguay","Spain","Guadalajara Stadium","Zapopan","Mexico","June 26","Friday, 6pm CT",50000,"FIFA Pavilion",MXN,2838,"Canada"
67,"GROUP STAGE MATCHES","Panama","England","New York/New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET",2900,"FIFA Pavilion",USD,2900,"United States"
68,"GROUP STAGE MATCHES","Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET",1725,"Champions Club",USD,1725,"United States"
69,"GROUP STAGE MATCHES","Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT",650,"Suite Essentials",USD,650,"United States"
