Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
1,"GROUP STAGE MATCHES","Mexico","South Africa","Mexico City Stadium","Ciudad de México","Mexico","June 11","Thursday, 1pm CT",119700,"FIFA Pavilion",MXN,6911,"United States"
2,"GROUP STAGE MATCHES","Korea Republic","Czechia","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT",34200,"FIFA Pavilion",MXN,1975,"United States"
3,"GROUP STAGE MATCHES","Canada","Bosnia and Herzegovina","Toronto Stadium","Toronto","Canada","June 12","Friday, 3pm ET",6375,"Champions Club",CAD,4653,"United States"
4,"GROUP STAGE MATCHES","USA","Paraguay","Los Angeles Stadium","Inglewood","United States","June 12","Friday, 6pm PT",3600,"Champions Club",USD,3600,"United States"
5,"GROUP STAGE MATCHES","Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET",2400,"Trophy Lounge",USD,2400,"United States"
6,"GROUP STAGE MATCHES","Australia","Türkiye","BC Place Vancouver","Vancouver","Canada","June 13","Saturday, 9pm PT",2950,"FIFA Pavilion",CAD,2153,"United States"
8,"GROUP STAGE MATCHES","Qatar","Switzerland","San Francisco Bay Area Stadium","Santa Clara","United States","June 13","Saturday, 12pm PT",2100,"Champions Club",USD,2100,"United States"
9,"GROUP STAGE MATCHES","Côte d'Ivoire","Ecuador","Philadelphia Stadium","Philadelphia","United States","June 14","Sunday, 7pm ET",2200,"Champions Club",USD,2200,"United States"
11,"GROUP STAGE MATCHES","Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT",2475,"Trophy Lounge",USD,2475,"United States"
12,"GROUP STAGE MATCHES","Sweden","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT",37850,"Champions Club",MXN,2185,"United States"
13,"GROUP STAGE MATCHES","Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET",1750,"FIFA Pavilion",USD,1750,"United States"
14,"GROUP STAGE MATCHES","Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET",2050,"Champions Club",USD,2050,"United States"
15,"GROUP STAGE MATCHES","IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT",2150,"Champions Club",USD,2150,"United States"
16,"GROUP STAGE MATCHES","Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT",1675,"FIFA Pavilion",USD,1675,"United States"
17,"GROUP STAGE MATCHES","France","Senegal","New York/New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET",2300,"FIFA Pavilion",USD,2300,"United States"
18,"GROUP STAGE MATCHES","Iraq","Norway","Boston Stadium","Foxborough","United States","June 16","Tuesday, 6pm ET",2000,"Champions Club",USD,2000,"United States"
19,"GROUP STAGE MATCHES","Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT",2200,"FIFA Pavilion",USD,2200,"United States"
20,"GROUP STAGE MATCHES","Austria","Jordan","San Francisco Bay Area Stadium","Santa Clara","United States","June 16","Tuesday, 9pm PT",2000,"Champions Club",USD,2000,"United States"
21,"GROUP STAGE MATCHES","Ghana","Panama","Toronto Stadium","Toronto","Canada","June 17","Wednesday, 7pm ET",2500,"FIFA Pavilion",CAD,1825,"United States"
22,"GROUP STAGE MATCHES","England","Croatia","Dallas Stadium","Arlington","United States","June 17","Wednesday, 3pm CT",3150,"VIP",USD,3150,"United States"
23,"GROUP STAGE MATCHES","Portugal","Congo DR","Houston Stadium","Houston","United States","June 17","Wednesday, 12pm CT",2900,"VIP",USD,2900,"United States"
24,"GROUP STAGE MATCHES","Uzbekistan","Colombia","Mexico City Stadium","Ciudad de México","Mexico","June 17","Wednesday, 9pm CT",54750,"FIFA Pavilion",MXN,3161,"United States"
25,"GROUP STAGE MATCHES","Czechia","South Africa","Atlanta Stadium","Atlanta","United States","June 18","Thursday, 12pm ET",2000,"Champions Club",USD,2000,"United States"
26,"GROUP STAGE MATCHES","Switzerland","Bosnia and Herzegovina","Los Angeles Stadium","Inglewood","United States","June 18","Thursday, 12pm PT",2310,"Champions Club",USD,2310,"United States"
27,"GROUP STAGE MATCHES","Canada","Qatar","BC Place Vancouver","Vancouver","Canada","June 18","Thursday, 3pm PT",3575,"FIFA Pavilion",CAD,2609,"United States"
28,"GROUP STAGE MATCHES","Mexico","Korea Republic","Guadalajara Stadium","Zapopan","Mexico","June 18","Thursday, 7pm CT",53540,"FIFA Pavilion",MXN,3091,"United States"
29,"GROUP STAGE MATCHES","Brazil","Haiti","Philadelphia Stadium","Philadelphia","United States","June 19","Friday, 8pm ET",3100,"VIP",USD,3100,"United States"
30,"GROUP STAGE MATCHES","Scotland","Morocco","Boston Stadium","Foxborough","United States","June 19","Friday, 6pm ET",2350,"Trophy Lounge",USD,2350,"United States"
31,"GROUP STAGE MATCHES","Türkiye","Paraguay","San Francisco Bay Area Stadium","Santa Clara","United States","June 19","Friday, 8pm PT",2375,"Trophy Lounge",USD,2375,"United States"
32,"GROUP STAGE MATCHES","USA","Australia","Seattle Stadium","Seattle","United States","June 19","Friday, 12pm PT",2650,"FIFA Pavilion",USD,2650,"United States"
33,"GROUP STAGE MATCHES","Germany","Côte d'Ivoire","Toronto Stadium","Toronto","Canada","June 20","Saturday, 4pm ET",2500,"FIFA Pavilion",CAD,1825,"United States"
34,"GROUP STAGE MATCHES","Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT",1475,"FIFA Pavilion",USD,1475,"United States"
35,"GROUP STAGE MATCHES","Netherlands","Sweden","Houston Stadium","Houston","United States","June 20","Saturday, 12pm CT",1775,"Champions Club",USD,1775,"United States"
36,"GROUP STAGE MATCHES","Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT",57200,"Champions Club",MXN,3303,"United States"
37,"GROUP STAGE MATCHES","Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET",1825,"FIFA Pavilion",USD,1825,"United States"
38,"GROUP STAGE MATCHES","Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET",2150,"Champions Club",USD,2150,"United States"
39,"GROUP STAGE MATCHES","Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT",2300,"Champions Club",USD,2300,"United States"
40,"GROUP STAGE MATCHES","New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT",2575,"FIFA Pavilion",CAD,1880,"United States"
41,"GROUP STAGE MATCHES","Norway","Senegal","New York/New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET",1800,"FIFA Pavilion",USD,1800,"United States"
42,"GROUP STAGE MATCHES","France","Iraq","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET",2440,"Trophy Lounge",USD,2440,"United States"
43,"GROUP STAGE MATCHES","Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT",2500,"Trophy Lounge",USD,2500,"United States"
44,"GROUP STAGE MATCHES","Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT",2000,"Champions Club",USD,2000,"United States"
45,"GROUP STAGE MATCHES","England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET",2430,"Champions Club",USD,2430,"United States"
46,"GROUP STAGE MATCHES","Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET",2600,"FIFA Pavilion",CAD,1898,"United States"
47,"GROUP STAGE MATCHES","Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT",2640,"Trophy Lounge",USD,2640,"United States"
48,"GROUP STAGE MATCHES","Colombia","RD del Congo","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT",36770,"FIFA Pavilion",MXN,2123,"United States"
49,"GROUP STAGE MATCHES","Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET",3000,"FIFA Pavilion",USD,3000,"United States"
50,"GROUP STAGE MATCHES","Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET",2050,"Champions Club",USD,2050,"United States"
51,"GROUP STAGE MATCHES","Switzerland","Canada","BC Place Vancouver","Vancouver","Canada","June 24","Wednesday, 12pm PT",3425,"FIFA Pavilion",CAD,2500,"United States"
52,"GROUP STAGE MATCHES","Bosnia and Herzegovina","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT",1575,"FIFA Pavilion",USD,1575,"United States"
53,"GROUP STAGE MATCHES","Czechia","Mexico","Mexico City Stadium","Ciudad de México","Mexico","June 24","Wednesday, 7pm CT",88500,"FIFA Pavilion",MXN,5110,"United States"
54,"GROUP STAGE MATCHES","South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT",37300,"Champions Club",MXN,2154,"United States"
55,"GROUP STAGE MATCHES","Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET",2150,"Champions Club",USD,2150,"United States"
56,"GROUP STAGE MATCHES","Ecuador","Germany","New York/New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET",2450,"FIFA Pavilion",USD,2450,"United States"
57,"GROUP STAGE MATCHES","Japan","Sweden","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT",1740,"Champions Club",USD,1740,"United States"
58,"GROUP STAGE MATCHES","Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT",1400,"FIFA Pavilion",USD,1400,"United States"
59,"GROUP STAGE MATCHES","Türkiye","USA","Los Angeles Stadium","Inglewood","United States","June 25","Thursday, 7pm PT",3700,"Trophy Lounge",USD,3700,"United States"
60,"GROUP STAGE MATCHES","Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT",2100,"Champions Club",USD,2100,"United States"
61,"GROUP STAGE MATCHES","Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET",2700,"Trophy Lounge",USD,2700,"United States"
62,"GROUP STAGE MATCHES","Senegal","Iraq","Toronto Stadium","Toronto","Canada","June 26","Friday, 3pm ET",2400,"FIFA Pavilion",CAD,1752,"United States"
