Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
32,"GROUP STAGE MATCHES","USA","Australia","Seattle Stadium","Seattle","United States","June 19","Friday, 12pm PT",3000,"VIP",USD,3000,"United States"
34,"GROUP STAGE MATCHES","Ecuador","Curaçao","Kansas City Stadium","Kansas City","United States","June 20","Saturday, 7pm CT",650,"Suite Essentials",USD,650,"United States"
35,"GROUP STAGE MATCHES","Netherlands","Sweden","Houston Stadium","Houston","United States","June 20","Saturday, 12pm CT",1775,"Champions Club",USD,1775,"United States"
36,"GROUP STAGE MATCHES","Tunisia","Japan","Monterrey Stadium","Guadalupe","Mexico","June 20","Saturday, 10pm CT",57200,"Champions Club",MXN,3297,"United States"
37,"GROUP STAGE MATCHES","Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET",2650,"Trophy Lounge",USD,2650,"United States"
38,"GROUP STAGE MATCHES","Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET",3500,"Pitchside Lounge",USD,3500,"United States"
39,"GROUP STAGE MATCHES","Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT",650,"Suite Essentials",USD,650,"United States"
40,"GROUP STAGE MATCHES","New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT",2575,"FIFA Pavilion",CAD,1826,"United States"
41,"GROUP STAGE MATCHES","Norway","Senegal","New York/New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET",2500,"Champions Club",USD,2500,"United States"
43,"GROUP STAGE MATCHES","Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT",2610,"Trophy Lounge",USD,2610,"United States"
44,"GROUP STAGE MATCHES","Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT",2800,"VIP",USD,2800,"United States"
46,"GROUP STAGE MATCHES","Panama","Croatia","Toronto Stadium","Toronto","Canada","June 23","Tuesday, 7pm ET",3450,"Champions Club",CAD,2447,"United States"
48,"GROUP STAGE MATCHES","Colombia","Congo DR","Guadalajara Stadium","Zapopan","Mexico","June 23","Tuesday, 8pm CT",35000,"FIFA Pavilion",MXN,2017,"United States"
50,"GROUP STAGE MATCHES","Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET",2275,"Trophy Lounge",USD,2275,"United States"
51,"GROUP STAGE MATCHES","Switzerland","Canada","BC Place Vancouver","Vancouver","Canada","June 24","Wednesday, 12pm PT",3425,"FIFA Pavilion",CAD,2429,"United States"
52,"GROUP STAGE MATCHES","Bosnia and Herzegovina","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT",650,"Suite Essentials",USD,650,"United States"
53,"GROUP STAGE MATCHES","Czechia","Mexico","Mexico City Stadium","Ciudad de México","Mexico","June 24","Wednesday, 7pm CT",70000,"FIFA Pavilion",MXN,4035,"United States"
54,"GROUP STAGE MATCHES","South Africa","Korea Republic","Monterrey Stadium","Guadalupe","Mexico","June 24","Wednesday, 7pm CT",37300,"Champions Club",MXN,2150,"United States"
55,"GROUP STAGE MATCHES","Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET",1650,"Champions Club",USD,1650,"United States"
56,"GROUP STAGE MATCHES","Ecuador","Germany","New York/New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET",2200,"FIFA Pavilion",USD,2200,"United States"
