Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
5,"GROUP STAGE MATCHES","Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET",2400,"VIP",USD,2400,"United States"
7,"GROUP STAGE MATCHES","Brazil","Morocco","New York/New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET",3200,"FIFA Pavilion",USD,3200,"United States"
8,"GROUP STAGE MATCHES","Qatar","Switzerland","San Francisco Bay Area Stadium","Santa Clara","United States","June 13","Saturday, 12pm PT",2700,"VIP",USD,2700,"United States"
9,"GROUP STAGE MATCHES","Côte d'Ivoire","Ecuador","Philadelphia Stadium","Philadelphia","United States","June 14","Sunday, 7pm ET",1850,"Champions Club",USD,1850,"Canada"
10,"GROUP STAGE MATCHES","Germany","Curaçao","Houston Stadium","Houston","United States","June 14","Sunday, 12pm CT",1750,"Champions Club",USD,1750,"United States"
11,"GROUP STAGE MATCHES","Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT",900,"Suite Essentials",USD,900,"United States"
12,"GROUP STAGE MATCHES","Sweden","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT",37850,"Champions Club",MXN,2185,"United States"
13,"GROUP STAGE MATCHES","Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET",2000,"Champions Club",USD,2000,"United States"
14,"GROUP STAGE MATCHES","Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET",750,"Suite Essentials",USD,750,"United States"
15,"GROUP STAGE MATCHES","IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT",650,"Suite Essentials",USD,650,"United States"
16,"GROUP STAGE MATCHES","Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT",650,"Suite Essentials",USD,650,"United States"
