Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
100,"QUARTER-FINALS","Argentina","Switzerland","Kansas City Stadium","Kansas City","United States","July 11","Saturday, 8pm CT",3000,"Suite Essentials",USD,3000,"United States"
101,"SEMI-FINALS","France","Spain","Dallas Stadium","Arlington","United States","July 14","Tuesday, 2pm CT",3000,"Suite Essentials",USD,3000,"United States"
102,"SEMI-FINALS","W99","W100","Atlanta Stadium","Atlanta","United States","July 15","Wednesday, 3pm ET",4000,"Suite Essentials",USD,4000,"United States"
103,"BRONZE FINAL","BRONZE","FIXTURE","Miami Stadium","Miami Gardens","United States","July 18","Saturday, 5pm ET",6260,"Pitchside Lounge",USD,6260,"United States"
104,"","FINAL","FIXTURE","New York/New Jersey Stadium","East Rutherford","United States","July 19","Sunday, 3pm ET",8500,"Supporters Club",USD,8500,"United States"
