Match Number,Stage,Host Team,Away Team,Venue,City,Country,Date,Time,Starting Price,Starting Lounge,Original Currency,Price (USD),Portal
2,"GROUP STAGE MATCHES","Korea Republic","European Play-Off D","Guadalajara Stadium","Zapopan","Mexico","June 11","Thursday, 8pm CT",34200,"FIFA Pavilion",MXN,1887,"United States"
3,"GROUP STAGE MATCHES","Canada","European Play-Off A","Toronto Stadium","Toronto","Canada","June 12","Friday, 3pm ET",6375,"Champions Club",CAD,4586,"United States"
4,"GROUP STAGE MATCHES","USA","Paraguay","Los Angeles Stadium","Inglewood","United States","June 12","Friday, 6pm PT",3300,"Champions Club",USD,3300,"United States"
5,"GROUP STAGE MATCHES","Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET",2200,"Champions Club",USD,2200,"United States"
6,"GROUP STAGE MATCHES","Australia","European Play-Off C","BC Place Vancouver","Vancouver","Canada","June 13","Saturday, 9pm PT",2950,"FIFA Pavilion",CAD,2122,"United States"
7,"GROUP STAGE MATCHES","Brazil","Morocco","New York/New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET",2900,"FIFA Pavilion",USD,2900,"United States"
8,"GROUP STAGE MATCHES","Qatar","Switzerland","San Francisco Bay Area Stadium","Santa Clara","United States","June 13","Saturday, 12pm PT",2300,"Champions Club",USD,2300,"United States"
9,"GROUP STAGE MATCHES","Côte d'Ivoire","Ecuador","Philadelphia Stadium","Philadelphia","United States","June 14","Sunday, 7pm ET",2200,"Champions Club",USD,2200,"United States"
11,"GROUP STAGE MATCHES","Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT",2000,"Champions Club",USD,2000,"United States"
12,"GROUP STAGE MATCHES","European Play-Off B","Tunisia","Monterrey Stadium","Guadalupe","Mexico","June 14","Sunday, 8pm CT",61350,"Champions Club",MXN,3386,"United States"
13,"GROUP STAGE MATCHES","Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET",1750,"FIFA Pavilion",USD,1750,"United States"
14,"GROUP STAGE MATCHES","Spain","Cabo Verde","Atlanta Stadium","Atlanta","United States","June 15","Monday, 12pm ET",2050,"Champions Club",USD,2050,"United States"
15,"GROUP STAGE MATCHES","IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT",2150,"Champions Club",USD,2150,"United States"
