Match Number,Host Team,Away Team,Venue,City,Country,Date,Time,Lounge Type,Price,Currency,Portal
15,"IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","Pitchside Lounge",3350,USD,United States
15,"IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","VIP ",2950,USD,United States
15,"IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","Trophy Lounge",2500,USD,United States
15,"IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","Champions Club",2150,USD,United States
15,"IR Iran","New Zealand","Los Angeles Stadium","Inglewood","United States","June 15","Monday, 6pm PT","FIFA Pavilion",1400,USD,United States
11,"Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT","Pitchside Lounge",3500,USD,United States
11,"Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT","VIP ",3000,USD,United States
11,"Netherlands","Japan","Dallas Stadium","Arlington","United States","June 14","Sunday, 3pm CT","Trophy Lounge",2475,USD,United States
13,"Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","Pitchside Lounge",3520,USD,United States
13,"Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","VIP ",2800,USD,United States
13,"Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","Trophy Lounge",2350,USD,United States
13,"Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","Champions Club",2000,USD,United States
13,"Saudi Arabia","Uruguay","Miami Stadium","Miami Gardens","United States","June 15","Monday, 6pm ET","FIFA Pavilion",1750,USD,United States
19,"Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","Pitchside Lounge",3150,USD,United States
19,"Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","VIP ",2740,USD,United States
19,"Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","Trophy Lounge",2540,USD,United States
19,"Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","Champions Club",2310,USD,United States
19,"Argentina","Algeria","Kansas City Stadium","Kansas City","United States","June 16","Tuesday, 8pm CT","FIFA Pavilion",2000,USD,United States
16,"Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","Pitchside Lounge",4750,USD,United States
16,"Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","VIP ",4250,USD,United States
16,"Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","Trophy Lounge",2690,USD,United States
16,"Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","Champions Club",2250,USD,United States
16,"Belgium","Egypt","Seattle Stadium","Seattle","United States","June 15","Monday, 12pm PT","FIFA Pavilion",1575,USD,United States
17,"France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","Pitchside Lounge",4200,USD,United States
17,"France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","VIP ",3400,USD,United States
17,"France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","Trophy Lounge",3200,USD,United States
17,"France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","Champions Club",2900,USD,United States
17,"France","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 16","Tuesday, 3pm ET","FIFA Pavilion",2300,USD,United States
5,"Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET","Pitchside Lounge",3900,USD,United States
5,"Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET","VIP ",3000,USD,United States
5,"Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET","Trophy Lounge",2400,USD,United States
5,"Haiti","Scotland","Boston Stadium","Foxborough","United States","June 13","Saturday, 9pm ET","Champions Club",2200,USD,United States
38,"Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","Pitchside Lounge",3500,USD,United States
38,"Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","VIP ",2950,USD,United States
38,"Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","Trophy Lounge",2640,USD,United States
38,"Spain","Saudi Arabia","Atlanta Stadium","Atlanta","United States","June 21","Sunday, 12pm ET","Champions Club",2150,USD,United States
39,"Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","Pitchside Lounge",3600,USD,United States
39,"Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","VIP ",3100,USD,United States
39,"Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","Trophy Lounge",2625,USD,United States
39,"Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","Champions Club",2300,USD,United States
39,"Belgium","IR Iran","Los Angeles Stadium","Inglewood","United States","June 21","Sunday, 12pm PT","FIFA Pavilion",1475,USD,United States
7,"Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET","Pitchside Lounge",6300,USD,United States
7,"Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET","VIP ",4500,USD,United States
7,"Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET","Trophy Lounge",3700,USD,United States
7,"Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET","Champions Club",3400,USD,United States
7,"Brazil","Morocco","New York New Jersey Stadium","East Rutherford","United States","June 13","Saturday, 6pm ET","FIFA Pavilion",2900,USD,United States
37,"Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","Pitchside Lounge",3940,USD,United States
37,"Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","VIP ",3000,USD,United States
37,"Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","Trophy Lounge",2475,USD,United States
37,"Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","Champions Club",2100,USD,United States
37,"Uruguay","Cabo Verde","Miami Stadium","Miami Gardens","United States","June 21","Sunday, 6pm ET","FIFA Pavilion",1825,USD,United States
43,"Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT","Pitchside Lounge",3450,USD,United States
43,"Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT","VIP ",3000,USD,United States
43,"Argentina","Austria","Dallas Stadium","Arlington","United States","June 22","Monday, 12pm CT","Trophy Lounge",2500,USD,United States
44,"Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","Pitchside Lounge",3200,USD,United States
44,"Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","VIP ",2800,USD,United States
44,"Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","Trophy Lounge",2250,USD,United States
44,"Jordan","Algeria","San Francisco Bay Area Stadium","Santa Clara","United States","June 22","Monday, 8pm PT","Champions Club",2000,USD,United States
41,"Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","Pitchside Lounge",3500,USD,United States
41,"Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","VIP ",3200,USD,United States
41,"Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","Trophy Lounge",3000,USD,United States
41,"Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","Champions Club",2800,USD,United States
41,"Norway","Senegal","New York New Jersey Stadium","East Rutherford","United States","June 22","Monday, 8pm ET","FIFA Pavilion",1800,USD,United States
42,"France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","Pitchside Lounge",3200,USD,United States
42,"France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","VIP ",2700,USD,United States
42,"France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","Trophy Lounge",2320,USD,United States
42,"France","FIFA Play-Off 2","Philadelphia Stadium","Philadelphia","United States","June 22","Monday, 5pm ET","Champions Club",2050,USD,United States
49,"Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","Pitchside Lounge",6100,USD,United States
49,"Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","VIP ",3700,USD,United States
49,"Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","Trophy Lounge",3400,USD,United States
49,"Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","Champions Club",3000,USD,United States
49,"Scotland","Brazil","Miami Stadium","Miami Gardens","United States","June 24","Wednesday, 6pm ET","FIFA Pavilion",2600,USD,United States
50,"Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","Pitchside Lounge",3350,USD,United States
50,"Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","VIP ",2850,USD,United States
50,"Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","Trophy Lounge",2275,USD,United States
50,"Morocco","Haiti","Atlanta Stadium","Atlanta","United States","June 24","Wednesday, 6pm ET","Champions Club",2050,USD,United States
45,"England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","Pitchside Lounge",3200,USD,United States
45,"England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","VIP ",2700,USD,United States
45,"England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","Trophy Lounge",2490,USD,United States
45,"England","Ghana","Boston Stadium","Foxborough","United States","June 23","Tuesday, 4pm ET","Champions Club",2310,USD,United States
47,"Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT","Pitchside Lounge",3200,USD,United States
47,"Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT","VIP ",2710,USD,United States
47,"Portugal","Uzbekistan","Houston Stadium","Houston","United States","June 23","Tuesday, 12pm CT","Trophy Lounge",2510,USD,United States
56,"Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","Pitchside Lounge",4100,USD,United States
56,"Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","VIP ",3400,USD,United States
56,"Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","Trophy Lounge",3200,USD,United States
56,"Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","Champions Club",3000,USD,United States
56,"Ecuador","Germany","New York New Jersey Stadium","East Rutherford","United States","June 25","Thursday, 4pm ET","FIFA Pavilion",2100,USD,United States
57,"Japan","European Play-Off B","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT","Pitchside Lounge",3450,USD,United States
57,"Japan","European Play-Off B","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT","VIP ",3000,USD,United States
57,"Japan","European Play-Off B","Dallas Stadium","Arlington","United States","June 25","Thursday, 6pm CT","Trophy Lounge",2350,USD,United States
52,"European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","Pitchside Lounge",4550,USD,United States
52,"European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","VIP ",3850,USD,United States
52,"European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","Trophy Lounge",2875,USD,United States
52,"European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","Champions Club",2000,USD,United States
52,"European Play-Off A","Qatar","Seattle Stadium","Seattle","United States","June 24","Wednesday, 12pm PT","FIFA Pavilion",1575,USD,United States
55,"Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","Pitchside Lounge",3200,USD,United States
55,"Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","VIP ",2700,USD,United States
55,"Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","Trophy Lounge",2250,USD,United States
55,"Curaçao","Côte d'Ivoire","Philadelphia Stadium","Philadelphia","United States","June 25","Thursday, 4pm ET","Champions Club",1950,USD,United States
60,"Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","Pitchside Lounge",3200,USD,United States
60,"Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","VIP ",2800,USD,United States
60,"Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","Trophy Lounge",2250,USD,United States
60,"Paraguay","Australia","San Francisco Bay Area Stadium","Santa Clara","United States","June 25","Thursday, 7pm PT","Champions Club",2000,USD,United States
61,"Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","Pitchside Lounge",3900,USD,United States
61,"Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","VIP ",3300,USD,United States
61,"Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","Trophy Lounge",2700,USD,United States
61,"Norway","France","Boston Stadium","Foxborough","United States","June 26","Friday, 3pm ET","Champions Club",2500,USD,United States
58,"Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","Pitchside Lounge",3150,USD,United States
58,"Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","VIP ",2700,USD,United States
58,"Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","Trophy Lounge",2310,USD,United States
58,"Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","Champions Club",2100,USD,United States
58,"Tunisia","Netherlands","Kansas City Stadium","Kansas City","United States","June 25","Thursday, 6pm CT","FIFA Pavilion",1400,USD,United States
67,"Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","Pitchside Lounge",4200,USD,United States
67,"Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","VIP ",3500,USD,United States
67,"Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","Trophy Lounge",3300,USD,United States
67,"Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","Champions Club",3000,USD,United States
67,"Panama","England","New York New Jersey Stadium","East Rutherford","United States","June 27","Saturday, 5pm ET","FIFA Pavilion",2400,USD,United States
68,"Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","Pitchside Lounge",3300,USD,United States
68,"Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","VIP ",2800,USD,United States
68,"Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","Trophy Lounge",2375,USD,United States
68,"Croatia","Ghana","Philadelphia Stadium","Philadelphia","United States","June 27","Saturday, 5pm ET","Champions Club",2000,USD,United States
63,"Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","Pitchside Lounge",4300,USD,United States
63,"Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","VIP ",3600,USD,United States
63,"Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","Trophy Lounge",2500,USD,United States
63,"Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","Champions Club",2100,USD,United States
63,"Egypt","IR Iran","Seattle Stadium","Seattle","United States","June 26","Friday, 8pm PT","FIFA Pavilion",1525,USD,United States
65,"Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT","Pitchside Lounge",3300,USD,United States
65,"Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT","VIP ",2800,USD,United States
65,"Cabo Verde","Saudi Arabia","Houston Stadium","Houston","United States","June 26","Friday, 7pm CT","Trophy Lounge",2430,USD,United States
70,"Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT","Pitchside Lounge",3795,USD,United States
70,"Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT","VIP ",3595,USD,United States
70,"Jordan","Argentina","Dallas Stadium","Arlington","United States","June 27","Saturday, 9pm CT","Trophy Lounge",2490,USD,United States
71,"Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","Pitchside Lounge",7200,USD,United States
71,"Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","VIP ",4420,USD,United States
71,"Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","Trophy Lounge",3800,USD,United States
71,"Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","Champions Club",3220,USD,United States
71,"Colombia","Portugal","Miami Stadium","Miami Gardens","United States","June 27","Saturday, 7pm ET","FIFA Pavilion",2800,USD,United States
69,"Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","Pitchside Lounge",3350,USD,United States
69,"Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","VIP ",2850,USD,United States
69,"Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","Trophy Lounge",2400,USD,United States
69,"Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","Champions Club",2050,USD,United States
69,"Algeria","Austria","Kansas City Stadium","Kansas City","United States","June 27","Saturday, 9pm CT","FIFA Pavilion",1475,USD,United States
72,"FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","Pitchside Lounge",3500,USD,United States
72,"FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","VIP ",2950,USD,United States
72,"FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","Trophy Lounge",2400,USD,United States
72,"FIFA Play-Off 1","Uzbekistan","Atlanta Stadium","Atlanta","United States","June 27","Saturday, 7pm ET","Champions Club",2150,USD,United States
40,"New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","Pitchside Lounge",6350,CAD,Canada
40,"New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","VIP ",4850,CAD,Canada
40,"New Zealand","Egypt","BC Place Vancouver","Vancouver","Canada","June 21","Sunday, 6pm PT","Lounge 1930 ",4850,CAD,Canada
